Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
04/04/2024,25.99,26.365,25.28,25.32,6205754,0.217,0.157,0.1015,0.09554
05/04/2024,25.12,25.6,24.89,25.36,5461686,0.099,0.158,0.1091,0.0956
08/04/2024,25.6,26.35,25.55,26.21,5341528,0.03,0.117,0.10695,0.09396
12/04/2024,25.84,25.85,25.2,25.31,7620735,0.181,0.125,0.115,0.09546
16/04/2024,24.09,24.205,23.47,23.94,6504893,0.075,0.112,0.1134,0.0954
18/04/2024,23.59,23.93,23.33,23.43,4577974,0.025,0.098,0.11015,0.09386
19/04/2024,23.1,23.7,22.75,22.89,5779997,0.122,0.085,0.11715,0.09482
22/04/2024,22.98,23.1,22.3931,22.89,6220048,0.058,0.079,0.1149,0.09452
23/04/2024,22.91,23.6309,22.62,23.1,7039154,0.15,0.092,0.11735,0.09552
24/04/2024,23.36,23.69,23.0101,23.57,5558516,0.176,0.112,0.1205,0.09672
25/04/2024,22.8,23.37,22.66,23.32,5414689,0.085,0.099,0.1201,0.09684
26/04/2024,23.62,24.405,23.21,24.13,6675707,0.052,0.095,0.1166,0.09576
30/04/2024,24.66,24.825,24.22,24.27,5481146,0.141,0.112,0.12075,0.09822
01/05/2024,24.18,25.32,24.02,24.55,5049492,0.073,0.105,0.11965,0.09818
02/05/2024,24.69,24.86,23.89,24.16,8487858,0.087,0.109,0.124,0.09832
03/05/2024,24.89,25.115,24.395,24.74,5753162,0.109,0.103,0.11765,0.10094
06/05/2024,25.04,25.53,25,25.49,4918172,0.111,0.094,0.11855,0.1014
08/05/2024,24.8,24.8,23.95,24.1,7643762,0.168,0.106,0.11235,0.102
09/05/2024,23.75,24.52,23.58,24.16,16469950,0.073,0.109,0.10755,0.1018
10/05/2024,24,24.44,21.64,21.69,26497430,0.061,0.097,0.10465,0.10186
13/05/2024,21.89,23.075,21.6048,22.69,12250000,0.098,0.11,0.0987,0.10258
14/05/2024,23.07,24.15,23,23.03,10960220,0.092,0.108,0.09835,0.09954
20/05/2024,21.7,21.7536,21.22,21.27,7439525,0.101,0.099,0.1019,0.09944
21/05/2024,21.13,21.13,20.505,20.56,9084038,0.122,0.106,0.09895,0.10018
23/05/2024,20.36,20.37,19.465,19.6,11848990,0.119,0.114,0.10115,0.09788
24/05/2024,19.55,19.66,19.31,19.4,7451429,0.19,0.119,0.1094,0.09906
28/05/2024,19.39,19.58,18.91,19.08,13734550,0.013,0.107,0.10395,0.09754
29/05/2024,18.79,18.925,18.33,18.75,14711330,0.214,0.125,0.11175,0.10078
30/05/2024,18.69,18.69,18.13,18.22,11896090,0.101,0.123,0.1093,0.09896
31/05/2024,18.19,18.62,18.03,18.27,11822480,0.085,0.121,0.10475,0.09894
07/06/2024,17.76,17.82,17.19,17.27,9142809,0.055,0.111,0.10325,0.10192
