Date,Open,High,Low,Close,Volume,Average Score,7 MA
18/12/2023,195.13,195.67,193.44,194.94,54182148,0.181,0.536
19/12/2023,195.2,195.99,194.94,195.98,40252787,0.52,0.541
20/12/2023,195.94,196.72,193.88,193.88,50130263,0.332,0.534
21/12/2023,195.14,196.12,192.56,193.73,44113595,0.421,0.489
22/12/2023,194.23,194.46,192.03,192.66,37149570,0.532,0.48
26/12/2023,192.67,192.95,191.89,192.11,28810197,0.197,0.56
27/12/2023,191.55,192.56,190.16,192.21,47843204,0.111,0.528
28/12/2023,193.19,193.71,192.23,192.64,33831111,0.414,0.527
29/12/2023,192.96,193.45,190.79,191.59,42672148,0.705,0.552
02/01/2024,183.09,186.04,182.92,185.95,53213186,0.699,0.633
03/01/2024,178.9,179.88,176.74,179.01,72226972,0.742,0.73
04/01/2024,170.57,170.63,168.86,169.42,43772506,0.624,0.672
05/01/2024,168.97,172.08,168.5,168.69,49390234,0.665,0.574
07/01/2024,211.61,217.02,211.44,216.26,60053404,0.645,0.678
08/01/2024,223.87,223.98,216.53,217.87,55106285,0.568,0.691
10/01/2024,229.27,229.4,223.49,225.96,62297233,0.524,0.582
11/01/2024,220.72,225.1,220.03,222.66,63401021,0.282,0.491
16/01/2024,181.27,183.36,180.05,182.74,65435578,0.42,0.575
17/01/2024,180.39,182.04,179.42,181.79,47189509,0.449,0.543
18/01/2024,185.18,188.22,184.92,187.71,77401255,0.556,0.535
19/01/2024,188.41,191.01,187.9,190.63,68471189,0.596,0.547
22/01/2024,191.36,194.38,191.32,192.95,59807280,0.587,0.6
23/01/2024,194.07,194.8,192.89,194.23,42196011,0.461,0.606
24/01/2024,194.47,195.42,193.39,193.55,53460311,0.775,0.653
25/01/2024,194.27,195.31,192.17,193.22,54526350,0.57,0.655
26/01/2024,193.32,193.81,191,191.48,44292567,0.663,0.664
29/01/2024,191.07,191.26,188.66,190.8,46893877,0.745,0.599
30/01/2024,190.01,190.87,186.56,187.12,55270086,0.654,0.627
31/01/2024,186.13,186.18,183.45,183.5,54825306,0.687,0.614
01/02/2024,186.24,187.52,182.99,184.74,79823882,0.286,0.584
02/02/2024,178.98,186.42,178.38,184.94,101116081,0.631,0.628
04/02/2024,168.47,168.73,167.62,168.23,49013991,0.704,0.652
05/02/2024,171.89,172.79,170.27,172.41,70750138,0.687,0.674
07/02/2024,215.66,219.88,214.62,219.78,57518408,0.531,0.649
08/02/2024,218.66,225.09,217.22,219.37,96431733,0.588,0.695
10/02/2024,225.64,227.12,222.77,226.53,32669705,0.654,0.563
12/02/2024,237.27,240.79,237.16,239.59,41369498,0.1,0.158
13/02/2024,185.1,185.54,182.85,184.37,54121050,0.599,0.618
14/02/2024,184.65,184.86,181.78,183.49,53092352,0.587,0.627
15/02/2024,182.89,183.82,180.7,183.2,62320417,0.661,0.61
16/02/2024,182.76,184.18,181.01,181.65,49752465,0.776,0.634
20/02/2024,181.13,181.77,179.35,180.91,49383241,0.63,0.585
21/02/2024,181.28,182.23,180.01,181.66,39093712,0.585,0.585
22/02/2024,182.82,184.29,181.8,183.7,51764316,0.68,0.588
23/02/2024,184.34,184.37,181.57,181.86,43841239,0.926,0.609
26/02/2024,181.58,182.1,180,180.51,40715100,0.748,0.731
27/02/2024,180.45,183.26,178.91,181.97,53497843,0.611,0.728
28/02/2024,181.85,182.46,179.48,180.77,48838553,0.766,0.754
29/02/2024,180.62,181.91,178.88,180.1,135399206,0.693,0.756
01/03/2024,183.32,184.97,182.54,183.35,56441924,0.522,0.643
04/03/2024,168.18,170.06,167.97,169.04,45571129,0.4,0.651
05/03/2024,185.97,186.33,182,182.72,157883681,0.52,0.675
06/03/2024,192.47,194.55,192.09,193.59,49880844,0.662,0.689
07/03/2024,219.51,221.05,218.54,221.05,37369801,0.705,0.664
09/03/2024,228.3,228.75,220.93,222.52,48184432,0.742,0.668
10/03/2024,224.89,226.56,223.07,225.42,33646100,0.828,0.602
12/03/2024,239.81,242.76,238.9,242.65,37814259,0.1,0.172
13/03/2024,172.15,172.56,170.14,170.51,51944302,0.59,0.533
14/03/2024,172.29,173.68,171.43,172.38,72571635,0.599,0.543
15/03/2024,170.55,172,169.67,172,119991025,0.322,0.521
18/03/2024,174.94,177.07,172.89,173.09,75076543,0.786,0.637
19/03/2024,173.71,175.97,172.41,175.44,54851348,0.678,0.681
20/03/2024,175.09,178.03,174.46,178.03,52305788,0.452,0.661
21/03/2024,176.41,176.85,170.22,170.75,105277427,0.428,0.637
22/03/2024,171.14,172.43,169.45,171.66,70485223,0.591,0.675
25/03/2024,169.95,171.32,168.84,170.23,53909125,0.611,0.579
26/03/2024,169.39,170.8,168.97,169.1,57024082,0.84,0.602
