Date,Open,High,Low,Close,Volume
21/09/2022,35.52,36.92,34.42,34.9,7303753
22/09/2022,34.57,35.0714,33.1901,33.32,6232509
23/09/2022,32.89,33.89,32.42,33.25,6661625
26/09/2022,33,34.49,32.58,32.61,5631393
27/09/2022,33.79,34.5,32.51,32.79,5742652
28/09/2022,32.82,34.71,32.61,34.43,5225006
29/09/2022,33.4,33.615,31.41,31.77,7913062
30/09/2022,31.43,33.37,31.25,31.86,4876097
03/10/2022,32.24,34.36,31.41,33.94,7203354
04/10/2022,35.69,36.62,35.19,36.32,7002967
05/10/2022,35.2,36.075,34.25,35.81,5955456
06/10/2022,36,37.08,34.54,35.85,5029627
07/10/2022,34.94,34.945,32.58,32.77,6339764
10/10/2022,32.61,33.3,31.22,31.63,6266022
