Date,Close,Volume,Open,High,Low,avg,7ma,
17/11/2023,145.18,49678440.00,142.66,145.23,142.55,0.648,0.674,
16/11/2023,142.83,49653510.00,140.91,143.32,139.52,0.546,0.665,
15/11/2023,143.20,63875720.00,147.06,147.29,142.59,0.771,0.66,
14/11/2023,145.80,56674550.00,145.00,147.26,144.68,0.735,0.653,
13/11/2023,142.59,35680570.00,142.08,143.23,140.67,0.647,0.611,
10/11/2023,143.56,49349940.00,140.46,143.65,139.91,0.584,0.58,
09/11/2023,140.60,36235370.00,142.02,142.65,139.84,0.511,0.581,
08/11/2023,142.08,44521660.00,142.97,143.12,141.22,0.722,0.602,
07/11/2023,142.71,53553540.00,140.55,143.37,140.50,0.436,0.562,
06/11/2023,139.74,44970420.00,138.76,140.73,138.36,0.761,0.595,
03/11/2023,138.60,44059810.00,138.99,139.49,137.45,0.591,0.592,
02/11/2023,138.07,52236690.00,138.73,138.81,136.47,0.658,0.602,
01/11/2023,137.00,61529410.00,133.96,137.35,133.71,0.439,0.59,
31/10/2023,133.09,51589380.00,132.75,133.57,131.71,0.67,0.609,
30/10/2023,132.71,72485540.00,129.72,133.00,128.56,0.576,0.625,
27/10/2023,127.74,125309300.00,126.20,130.02,125.52,0.658,0.651,
26/10/2023,119.57,100419500.00,120.63,121.64,118.35,0.572,0.632,
25/10/2023,121.39,74577540.00,126.04,126.34,120.79,0.574,0.629,
24/10/2023,128.56,46477360.00,127.74,128.80,126.34,0.782,0.604,
23/10/2023,126.56,48259950.00,124.63,127.88,123.98,0.573,0.595,
20/10/2023,125.17,56406410.00,128.05,128.17,124.97,0.528,0.541,
19/10/2023,128.40,60961360.00,130.57,132.24,127.47,0.552,0.542,
18/10/2023,128.13,42699480.00,129.90,130.67,127.51,0.398,0.564,
17/10/2023,131.47,49344550.00,130.39,132.58,128.71,0.718,0.604,
16/10/2023,132.55,42832920.00,130.69,133.07,130.43,0.64,0.599,
13/10/2023,129.79,45824690.00,132.98,133.31,128.95,0.531,0.596,
12/10/2023,132.33,55528580.00,132.17,134.48,131.23,0.71,0.606,
11/10/2023,131.83,40741840.00,129.74,132.05,129.61,0.68,0.606,
10/10/2023,129.48,42178620.00,128.82,130.74,128.05,0.682,0.592,
09/10/2023,128.26,38773740.00,126.22,128.79,124.76,0.573,0.579,
06/10/2023,127.96,46836700.00,124.16,128.45,124.13,0.435,0.562,
05/10/2023,125.96,39660640.00,126.71,126.73,124.33,0.607,0.564,
04/10/2023,127.00,44203870.00,126.06,127.36,125.68,0.71,0.556,
03/10/2023,124.72,51564990.00,128.06,128.52,124.25,0.579,0.505,
02/10/2023,129.46,48029740.00,127.28,130.47,126.54,0.594,0.463,
29/09/2023,127.12,62411730.00,128.20,129.15,126.32,0.454,0.494,
28/09/2023,125.98,54554970.00,124.04,126.58,123.04,0.551,0.516,
27/09/2023,125.98,54554970.00,124.04,126.58,123.04,0.347,0.524,
26/09/2023,125.98,54554970.00,124.04,126.58,123.04,0.289,0.566,
25/09/2023,131.27,46017830.00,129.36,131.78,128.77,0.6,0.611,
22/09/2023,129.12,59904350.00,131.11,132.03,128.52,0.612,0.636,
21/09/2023,129.33,70343340.00,131.94,132.24,127.47,0.603,0.637,
20/09/2023,135.29,46263720.00,138.55,139.37,135.20,0.643,0.64,
19/09/2023,137.63,61482470.00,138.70,138.84,135.56,0.602,0.636,
18/09/2023,139.98,42823480.00,140.48,141.75,139.22,0.652,0.659,
15/09/2023,140.39,102909300.00,142.69,143.57,140.09,0.619,0.622,
14/09/2023,144.72,64033610.00,145.08,145.86,142.95,0.626,0.617,
13/09/2023,144.85,60465180.00,140.95,144.98,140.87,0.616,0.617,
12/09/2023,141.23,42668450.00,142.32,143.00,140.61,0.764,0.624,
11/09/2023,143.10,56764530.00,138.75,143.62,138.64,0.724,0.592,
08/09/2023,138.23,38365930.00,136.86,138.85,136.75,0.584,0.51,
07/09/2023,137.85,48498910.00,133.90,138.03,133.16,0.625,0.523,
